Wall time,Step,Value
1741565517.5233781,186,17.856548309326172
1741565538.0196545,187,96.13264465332031
1741565558.4943802,188,20.583364486694336
1741565560.666895,189,-28.048856735229492
1741565564.2346804,190,33.03590774536133
1741565566.6237948,191,6.340487957000732
1741565569.4667723,192,14.778786659240723
1741565589.9398282,193,100.56304931640625
1741565592.5497959,194,3.5148496627807617
1741565595.6073432,195,3.2588443756103516
1741565616.130074,196,76.31864929199219
1741565620.1720705,197,-46.412757873535156
1741565630.6850305,198,195.6220245361328
1741565633.3099806,199,43.509986877441406
1741565635.9832652,200,18.682064056396484
1741565655.9478743,201,166.35235595703125
1741565658.3300178,202,-54.61192321777344
1741565661.7779343,203,14.346395492553711
1741565682.259482,204,111.27761840820312
1741565702.7882006,205,105.23335266113281
1741565723.3067524,206,-56.276344299316406
1741565743.8332467,207,57.90388488769531
1741565764.3279953,208,62.69392013549805
1741565766.9231892,209,-19.894596099853516
1741565787.46395,210,116.99977111816406
1741565789.4311576,211,42.53479766845703
1741565809.9617317,212,131.907470703125
1741565830.5004683,213,-34.37006378173828
1741565832.8637493,214,-68.84530639648438
1741565835.8942668,215,-21.957067489624023
1741565838.0282629,216,34.680503845214844
1741565858.5632098,217,128.99435424804688
1741565879.0997915,218,83.21028900146484
1741565899.6373343,219,107.57254028320312
1741565920.1590185,220,83.38019561767578
1741565921.8170335,221,-10.902746200561523
1741565924.7098298,222,-77.11912536621094
1741565927.038387,223,-56.83408737182617
1741565929.2972038,224,-30.64999008178711
1741565949.8730004,225,64.05786895751953
1741565970.4013205,226,50.06330490112305
1741565990.9371054,227,27.965452194213867
1741565993.4986436,228,2.9886248111724854
1741566009.829243,229,202.1485137939453
1741566011.832045,230,28.01332664489746
1741566032.3466766,231,31.78664207458496
1741566052.900904,232,67.98088073730469
1741566073.4768972,233,35.12017059326172
1741566084.2665715,234,255.82643127441406
1741566104.8120089,235,10.999287605285645
1741566123.263753,236,-182.56097412109375
1741566125.3788452,237,-51.101627349853516
1741566130.591948,238,-53.72959518432617
1741566151.14264,239,60.94615173339844
1741566171.7197294,240,73.44207763671875
1741566192.3026252,241,59.89105224609375
1741566212.8886428,242,109.64562225341797
1741566233.5079901,243,85.77452087402344
1741566236.5190418,244,4.301129341125488
1741566257.0899377,245,140.26072692871094
1741566277.67999,246,-49.814125061035156
1741566289.4734468,247,253.4056854248047
1741566310.0487497,248,102.01646423339844
1741566330.6555994,249,178.67306518554688
1741566351.2846646,250,106.7792739868164
1741566355.050912,251,19.656816482543945
1741566375.5990067,252,130.8957977294922
1741566396.1719768,253,109.05475616455078
1741566416.7647183,254,97.47338104248047
1741566437.3612416,255,119.98626708984375
1741566457.9537616,256,143.59071350097656
1741566459.9268792,257,47.74076843261719
1741566462.2036328,258,-2.606569290161133
1741566482.6009097,259,267.3147277832031
1741566503.238483,260,-16.06211280822754
1741566523.8643517,261,100.68069458007812
1741566544.4789631,262,84.4123306274414
1741566548.1066895,263,39.43497848510742
1741566550.2866611,264,-3.2890608310699463
1741566570.9199,265,91.55618286132812
1741566591.5589554,266,156.5074920654297
1741566612.155781,267,150.62322998046875
1741566632.7930884,268,124.5501708984375
1741566643.995232,269,230.67266845703125
1741566664.6398408,270,21.68305206298828
1741566685.2803783,271,-55.96263122558594
1741566705.882684,272,117.38410949707031
1741566712.1587176,273,7.047664165496826
1741566732.789642,274,-41.63575744628906
1741566746.6086614,275,201.8697967529297
1741566767.2242754,276,154.9377899169922
1741566769.1028965,277,38.77986145019531
1741566789.73465,278,8.878762245178223
1741566801.7641106,279,235.3267364501953
1741566822.3987446,280,92.61145782470703
1741566843.0287073,281,143.8004150390625
1741566845.480638,282,-7.027118682861328
1741566866.1100802,283,71.94185638427734
1741566886.7822459,284,78.0649642944336
1741566903.70652,285,220.7758331298828
1741566924.3776352,286,67.10511016845703
1741566942.6468043,287,241.96279907226562
1741566953.3484344,288,230.986083984375
1741566973.968069,289,96.3357925415039
1741566991.3510294,290,216.5376739501953
1741567011.9858606,291,80.56782531738281
1741567032.6533096,292,110.6214370727539
1741567053.3063822,293,108.57648468017578
1741567070.0937452,294,193.0813446044922
1741567090.7356572,295,131.5994415283203
1741567111.370671,296,148.52052307128906
1741567132.0076864,297,110.69487762451172
1741567154.8983467,298,141.22842407226562
1741567165.469073,299,263.92535400390625
1741567186.1288295,300,-49.487144470214844
1741567206.311948,301,228.6059112548828
1741567227.0493722,302,135.87786865234375
1741567244.6789641,303,237.83340454101562
1741567250.8010616,304,221.78851318359375
1741567268.975242,305,169.05210876464844
1741567289.6225004,306,84.2270736694336
1741567311.3944745,307,139.51934814453125
1741567331.9909873,308,-52.56650924682617
1741567345.5166328,309,202.6340789794922
1741567366.0373218,310,280.8620910644531
1741567386.1315966,311,243.00660705566406
1741567389.5784807,312,0.3727324604988098
1741567399.6897762,313,192.79052734375
1741567420.3017907,314,140.02308654785156
1741567422.14663,315,-27.327533721923828
1741567431.0274067,316,292.677490234375
1741567444.327265,317,238.41226196289062
1741567464.9649403,318,82.207763671875
1741567469.729632,319,13.06357192993164
1741567476.780593,320,222.15866088867188
1741567497.3812242,321,164.099609375
1741567503.8524876,322,251.3369140625
1741567517.8231242,323,259.89569091796875
1741567533.005373,324,265.2059020996094
1741567542.240505,325,248.40451049804688
1741567562.8353255,326,24.347332000732422
1741567574.3983808,327,184.66334533691406
1741567594.9973366,328,150.59564208984375
1741567606.1733036,329,255.8290252685547
1741567622.1966834,330,113.09904479980469
1741567642.8051696,331,136.72825622558594
1741567663.4033093,332,109.83065795898438
1741567677.1106975,333,260.16082763671875
1741567696.6500494,334,118.02494049072266
1741567712.2211735,335,215.94883728027344
1741567731.5634415,336,189.49960327148438
1741567752.2826235,337,168.94554138183594
1741567761.096537,338,236.76158142089844
1741567781.6805153,339,163.30560302734375
1741567792.5405326,340,207.748046875
1741567796.8922288,341,265.52301025390625
1741567802.4187021,342,295.5093688964844
1741567815.6551168,343,243.60220336914062
1741567817.9661176,344,24.568593978881836
1741567822.6431775,345,245.11782836914062
1741567829.9494078,346,283.2635498046875
1741567832.144722,347,22.487815856933594
1741567852.8018117,348,184.73690795898438
1741567869.812423,349,204.12191772460938
1741567875.3551486,350,268.3077392578125
1741567882.305549,351,269.3464050292969
1741567885.2995925,352,29.587617874145508
1741567899.9547262,353,264.34100341796875
1741567908.51735,354,272.92474365234375
1741567921.1564584,355,239.8605194091797
1741567925.371025,356,237.76806640625
1741567937.106229,357,223.41848754882812
1741567951.0301466,358,250.81723022460938
1741567955.9519713,359,265.60107421875
1741567969.5692852,360,203.42318725585938
1741567978.2602255,361,203.9647674560547
1741567989.6020424,362,213.7105712890625
1741567994.407443,363,-318.6063537597656
1741567996.6653247,364,30.078845977783203
1741568011.6934648,365,222.02215576171875
1741568014.5248225,366,-77.54600524902344
1741568017.5652533,367,-81.62802124023438
1741568038.1173623,368,-35.64596939086914
1741568058.6834402,369,86.16983032226562
1741568069.202719,370,218.31324768066406
1741568075.948283,371,281.3240051269531
1741568080.0681431,372,264.4276123046875
1741568088.6302614,373,242.18199157714844
1741568105.0123198,374,155.60487365722656
1741568109.151169,375,257.0735778808594
1741568118.108577,376,253.62339782714844
1741568126.6378992,377,206.68536376953125
1741568134.403743,378,248.65316772460938
1741568153.0078635,379,214.1392364501953
1741568161.4952636,380,245.6875
1741568175.962303,381,204.1371612548828
1741568196.9961085,382,128.38621520996094
1741568217.5223546,383,129.22242736816406
1741568237.9983642,384,137.62623596191406
1741568244.3371973,385,270.46392822265625
1741568247.0760453,386,59.30534744262695
1741568262.2713828,387,214.39308166503906
1741568273.1882315,388,269.7556457519531
1741568284.2092435,389,282.3945007324219
1741568297.7759757,390,226.3123779296875
1741568318.2713366,391,118.13773345947266
1741568325.9572136,392,234.38839721679688
1741568330.9039953,393,225.6181640625
1741568336.164278,394,265.2224426269531
1741568352.0961797,395,266.381103515625
1741568355.0286512,396,30.884675979614258
1741568364.837583,397,253.99330139160156
1741568375.440085,398,244.51158142089844
1741568380.7641306,399,29.87474250793457
1741568390.5307245,400,270.806640625
1741568398.6340046,401,245.93222045898438
1741568404.8839595,402,279.6979064941406
1741568421.1963916,403,238.79739379882812
1741568428.780189,404,252.59201049804688
1741568434.7270093,405,257.4078369140625
1741568439.8020742,406,246.30364990234375
1741568446.584094,407,271.6707458496094
1741568461.122272,408,252.80844116210938
1741568468.687172,409,250.43283081054688
1741568480.1286976,410,270.0048522949219
1741568487.476989,411,256.30511474609375
1741568507.930778,412,164.8984832763672
1741568521.3263123,413,251.7323455810547
1741568529.951376,414,254.91221618652344
1741568539.3543003,415,283.76226806640625
1741568555.4891644,416,292.4775695800781
1741568570.29918,417,247.21095275878906
1741568572.7225053,418,45.205623626708984
1741568576.4352553,419,35.610801696777344
1741568583.2951143,420,289.821044921875
1741568591.7108846,421,279.4889221191406
